Government Wine Cellar - Wine and Spirit Consumption and Sales April 2016 - March 2017,,,
,,,
Annual Consumption,,,
Country/Region,Vintage,Product name,Consumption
BURGUNDY(WHITE),2005,"Puligny-Montrachet Les Garennes, Remoissenet Pere & fils",12
BURGUNDY(WHITE),2006,Corton-Charlemagne Dom Rapet Pere et fils ,4
BURGUNDY(WHITE),2006,"Meursault-Charmes, Dom Henri Germain et fils",7
BURGUNDY(WHITE),2006,Puligny-Montrachet Chateau de Puligny-Montrachet,8
BURGUNDY(WHITE),2006,"Puligny-Montrachet les Folatieres, Dom Louis Jadot",7
BURGUNDY(WHITE),2006,"Puligny-Montrachet Les Referts, Remoissenet Pere et fils",1
BURGUNDY(WHITE),2007,Chassagne-Montrachet Morgeot Fairendes JM Pillot,5
BURGUNDY(WHITE),2007,Chassagne-Montrachet Morgeot Vignes Blanches Ch de la Maltroye,9
BURGUNDY(WHITE),2007,"Meursault-Santenots, Domain Marquis d'Angerville",5
BURGUNDY(WHITE),2007,Monthelie Chateau de Puligny-Montrachet,15
BURGUNDY(WHITE),2007,"Pouilly-Fuisse Les Vieilles Vignes, Chateau de Fuisse JJ Vincent",4
BURGUNDY(WHITE),2007,Puligny-Montrachet La Clavoillon Dom Leflaive,2
BURGUNDY(WHITE),2008,Corton-Charlemagne Domaine Bonneau du Martray ,4
BURGUNDY(WHITE),2008,"Meursault en Luraule, Domaine Joseph Drouhin",2
BURGUNDY(WHITE),2008,"Puligny-Montrachet Clos de la Garenne, Duc de Magenta (Jadot)",1
BURGUNDY(WHITE),2013,"Meursault Les Charmes, Louis Jadot",1
CHAMPAGNE,,Louis Roederer Carte Blanche NV,11
CHAMPAGNE,1996,Bollinger Grande Annee Brut,5
CHAMPAGNE,1996,Gosset Grande Millesime Brut,1
CHAMPAGNE,1996,Louis Roederer Brut,22
CHAMPAGNE,1997,Alfred Gratien Brut,8
CHAMPAGNE,2002,J Lassalle Blanc de Blancs,1
CHILE,2001,Le Dix de los Vascos   Dom. Barons Rothschild,1
COGNAC,1922,Hine,0.25
COGNAC,1906,Hine,0.25
COGNAC,1913,Martell,0.25
COGNAC,1960,Hine,1.25
ENGLISH (STILL,2007,Chapel Down Bacchus Reserve,10
ENGLISH (STILL,2009,Chapel Down Chardonnay,69
ENGLISH (STILL,2009,Chapel Down Pinot Blanc,12
ENGLISH (STILL,2009,Three Choirs Willow Brook,21
ENGLISH (STILL,2010,Camel Valley Atlantic Dry,28
ENGLISH (STILL,2010,Furleigh Estate Bacchus Fume,13
ENGLISH (SPARKLING),,Nyetimber Demi Sec NV,39
ENGLISH (SPARKLING),2001,Chapel Down Pinot Reserve,3
ENGLISH (SPARKLING),2007,Nyetimer Classic Cuvee Reserve,33
ENGLISH (SPARKLING),2008,Breaky Bottom Cuvee Reserve,54
ENGLISH (SPARKLING),2008,Camel Valley Brut ,73
